HYPERLIQUID SPOT ASSETS
================================================================================
Name            | Index  | Asset ID     | Decimals
UDZ             | 361    | 10361        | 8       
DURIAN          | 362    | 10362        | 5       
CRCT            | 363    | 10363        | 8       
UPHL            | 364    | 10364        | 8       
UDOGE           | 365    | 10365        | 9       
SFC             | 366    | 10366        | 8       
FXRP            | 367    | 10367        | 6       
WXRP            | 368    | 10368        | 6       
MHYPE           | 369    | 10369        | 8       
FLOW            | 370    | 10370        | 8       
VNTLS           | 371    | 10371        | 8       
TANSSI          | 372    | 10372        | 8       
XION            | 373    | 10373        | 6       
SEDA            | 374    | 10374        | 8       
WUSDN           | 375    | 10375        | 8       
IZEC            | 376    | 10376        | 8       
USDN            | 377    | 10377        | 6       
VULT            | 378    | 10378        | 8       
MAWARI          | 379    | 10379        | 7       
XDC             | 380    | 10380        | 8       
HBNB            | 381    | 10381        | 8       
NBT             | 382    | 10382        | 8       
UMON            | 383    | 10383        | 6       
USDUC           | 384    | 10384        | 6       
SYND            | 385    | 10385        | 6       
PB              | 386    | 10386        | 8       
APEXHL          | 387    | 10387        | 8       
AXL             | 388    | 10388        | 8       
BZEC            | 389    | 10389        | 8       
MAK             | 390    | 10390        | 8       
BOUNCE          | 391    | 10391        | 8       
RLUSD           | 392    | 10392        | 8       
SOSA            | 393    | 10393        | 8       
HYBR            | 394    | 10394        | 8       
MMOVE           | 395    | 10395        | 8       
BLOB            | 396    | 10396        | 5       
CEXY            | 397    | 10397        | 8       
STABLE          | 398    | 10398        | 7       
NEST            | 399    | 10399        | 8       
RAM             | 400    | 10400        | 8       
QONE            | 401    | 10401        | 7       
US              | 402    | 10402        | 8       
UMEGA           | 403    | 10403        | 6       
XMR1            | 404    | 10404        | 8       
HMT             | 405    | 10405        | 8       
PEUR            | 406    | 10406        | 8       
TSLA            | 407    | 10407        | 8       
NVDA            | 408    | 10408        | 8       
CRCL            | 409    | 10409        | 8       
SOON            | 410    | 10410        | 8       
SLV             | 411    | 10411        | 8       
GOOGL           | 412    | 10412        | 8       
AAPL            | 413    | 10413        | 8       
BNB1            | 414    | 10414        | 9       
HOOD            | 415    | 10415        | 9       
SPACEX          | 416    | 10416        | 8       
MSTR            | 417    | 10417        | 9       
OPENAI          | 418    | 10418        | 9       
UZEC            | 419    | 10419        | 9       
SPY             | 420    | 10420        | 9       
AMZN            | 421    | 10421        | 9       
META            | 422    | 10422        | 9       
